ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0070374,positive regulation of ERK1 and ERK2 cascade,73,0.550832884309953,1.67244976647008,5.92831014891289e-05,0.0143938177350248,0.0118945468739999,365,"tags=44%, list=25%, signal=35%",EPO/CHI3L1/FGF23/CCL20/FGF21/GCG/CCL7/CCL3/CCL19/PLA2G2A/XCL1/CCL21/LGALS9/TREM2/TNF/ACTA2/CXCL17/CCL18/CD4/TGFB1/CCL5/CD74/CCL14/CCL15/FGF2/CCL17/ICAM1/CCL22/HAVCR2/NRP1/CCL16/ABL1
GO:0045765,regulation of angiogenesis,88,0.531918029408085,1.63219997739976,6.16647678709343e-05,0.0143938177350248,0.0118945468739999,344,"tags=40%, list=24%, signal=32%",NPPB/IL6/LEP/CHI3L1/ANGPT2/THBS2/EGLN1/ANGPTL4/CXCL10/ADM/HSPB6/PDCD6/CXCL13/TNF/NOS3/SMOC2/VEGFA/MDK/CTSH/SFRP1/ACVRL1/HSPG2/IL10/PGF/FGF2/EFNA1/TGFBR2/VASH1/PRL/EPHA2/THBS4/NRP1/DDAH1/DLL1/TAFA5
GO:1901342,regulation of vasculature development,91,0.529205035166551,1.62978224301264,7.8557582579353e-05,0.0143938177350248,0.0118945468739999,344,"tags=40%, list=24%, signal=32%",NPPB/IL6/LEP/CHI3L1/ANGPT2/THBS2/EGLN1/ANGPTL4/CXCL10/ADM/HSPB6/PDCD6/CXCL13/TNF/NOS3/SMOC2/VEGFA/MDK/CTSH/TGFB1/SFRP1/ACVRL1/HSPG2/IL10/PGF/FGF2/EFNA1/TGFBR2/VASH1/PRL/EPHA2/THBS4/NRP1/DDAH1/DLL1/TAFA5
GO:0048878,chemical homeostasis,126,0.490807033347463,1.54072321153059,8.96811073833323e-05,0.0143938177350248,0.0118945468739999,332,"tags=35%, list=23%, signal=30%",NPPB/IL6/LEP/FGF23/FABP4/FGF21/TNNI3/GCG/CCL7/CCL3/CCL19/EGLN1/NOS1/XCL1/ANGPTL4/FABP5/CCL21/CXCL10/CXCL9/CES1/SFTPD/TREM2/CALCA/STC1/ENPP7/BAX/TFRC/SLAMF8/VEGFA/CXCL11/PCSK9/CTSH/CCL5/CCN4/CCL14/CORO1A/CCL15/FGF2/ICAM1/COMT/THY1/NT5E/FOXO1/FOXO3
GO:0043410,positive regulation of MAPK cascade,137,0.481349677325859,1.51914913171917,0.000128101558114849,0.0164482400619466,0.0135922495347124,329,"tags=36%, list=22%, signal=31%",IL6/LEP/EPO/CHI3L1/FGF23/CCL20/GDF15/FGF21/GCG/IGFBP4/TGFA/CCL7/CCL3/HGF/GPR37/CCL19/EDA2R/PLA2G2A/XCL1/CCL21/TNFRSF11A/LGALS9/TREM2/OSM/TNF/CD27/FCRL3/LILRA5/ACTA2/CDH2/CXCL17/CCL18/VEGFA/CD4/TGFB1/CCL5/CD74/CCL14/CCL15/FGF2/EFNA1/CCL17/ICAM1/LIF/CCL22/HAVCR2/GH1/LTBR/NRP1
GO:0042592,homeostatic process,243,0.434866179296625,1.403318191292,0.00019385137511194,0.0207420971369776,0.0171405426414768,393,"tags=34%, list=27%, signal=30%",NPPB/ADGRG1/IL6/LEP/OXT/EPO/FGF23/FABP4/GDF15/FGF21/TNNI3/GCG/TFF1/CCL7/CCL3/TFF2/CCL19/EGLN1/PLA2G2A/NOS1/XCL1/ANGPTL4/FABP5/CCL21/CXCL10/TNFRSF11A/MUC13/CXCL9/LGALS9/CES1/SFTPD/TREM2/CALCA/SIT1/EIF4G1/STC1/IL2RA/TNF/NOS3/ENPP7/BAX/TFF3/CDH2/TFRC/SLAMF8/LTBP3/VEGFA/TNFRSF11B/CXCL11/PCSK9/CTSH/TPP1/MB/IL18R1/CCL5/CD74/CCN4/CCL14/CORO1A/TNFRSF13B/CCN3/CCL15/FGF2/ICAM1/LCN2/COMT/THY1/CXCL6/NT5E/LAMA4/FOXO1/FOXO3/DLL1/PRDX3/PRKAB1/TNFSF14/ABL1/IL15/NADK/CSF1/CASP3/STC2/CALB2
GO:0044057,regulation of system process,69,0.531864344495174,1.60760690892532,0.000462989879259287,0.0265396574032505,0.0219314434025877,172,"tags=29%, list=12%, signal=27%",NPPB/LEP/REN/TNNI3/ACE2/BAIAP2/CCL3/TFF2/CST7/NOS1/FABP5/SPINK1/ADM/CALCA/STC1/TNF/NOS3/ENPP7/TNFRSF1A/TNFRSF1B
GO:0070372,regulation of ERK1 and ERK2 cascade,89,0.500112932598281,1.53686266564168,0.000537407392900711,0.0265396574032505,0.0219314434025877,309,"tags=36%, list=21%, signal=30%",EPO/CHI3L1/FGF23/CCL20/FGF21/GCG/ACE2/CCL7/CCL3/CCL19/PLA2G2A/XCL1/CCL21/LGALS9/TREM2/TNF/ACTA2/CXCL17/CCL18/CD4/TGFB1/CCL5/CD74/CCL14/CCL15/FGF2/CCL17/ICAM1/LIF/CCL22/EPHA2/HAVCR2
GO:0043408,regulation of MAPK cascade,164,0.456802386131507,1.45439270729828,0.000303036791116907,0.0265396574032505,0.0219314434025877,329,"tags=34%, list=22%, signal=29%",IL6/LEP/REN/EPO/CHI3L1/FGF23/CCL20/GDF15/FGF21/GCG/IGFBP4/ACE2/TGFA/CCL7/CCL3/HGF/GPR37/LILRB4/CCL19/EDA2R/PLA2G2A/XCL1/CCL21/TNFRSF11A/LGALS9/TREM2/OSM/TNF/CD27/FCRL3/LILRA5/ACTA2/CDH2/CXCL17/CCL18/VEGFA/CD4/TGFB1/CCL5/CD74/CCL14/CCL15/FGF2/EFNA1/CCL17/ICAM1/LIF/CCL22/SMPD1/EPHA2/HAVCR2/GH1/LTBR/FOXO1/NRP1
GO:1902533,positive regulation of intracellular signal transduction,223,0.432569977153711,1.39195279892894,0.00048084467974758,0.0265396574032505,0.0219314434025877,329,"tags=32%, list=22%, signal=29%",ADGRG1/IL6/LEP/EPO/CHI3L1/FGF23/CCL20/GDF15/FGF21/GCG/IGFBP4/TGFA/TNFRSF10B/CCL7/CCL3/HGF/GPR37/CCL19/IL19/EDA2R/PLA2G2A/XCL1/CCL21/TNFRSF11A/LGALS9/BST2/TREM2/OSM/VWF/MAD1L1/TNF/CD27/FCRL3/BAX/SERPINA12/CLEC4D/LILRA5/TNFRSF1A/ACTA2/CDH2/CXCL17/TFRC/CCL18/VEGFA/CD4/LGALS1/TGFB1/IL12B/ACVRL1/IL18R1/CCL5/CLEC6A/CD74/PARP1/CCL14/CCL15/FGF2/EFNA1/CCL17/TGFBR2/HEXIM1/ICAM1/LIF/CCL22/PRL/RHOC/HAVCR2/MAVS/GH1/LTBR/NRP1
