ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0051241,negative regulation of multicellular organismal process,129/587,240/1417,1.63739775983139e-05,0.0368741975514028,0.0342129952975295,ACVRL1/ADA/ADM/ALDH1A1/ANGPT2/ANXA5/APOH/BST2/C1QTNF1/CALCA/CCL11/CCL3/CCN3/CCN4/CD160/CD274/CD2AP/CD300LF/CD38/CD74/CD83/CDH1/CDH3/CEBPB/CRHBP/CRTAM/CST3/CST7/CXCL10/CXCL13/DCN/DKK4/DLL1/DRAXIN/EFEMP1/EFNA1/EPHA2/EZR/FGF23/FGR/FSTL3/FURIN/GAS6/GDF15/GPNMB/GRN/HAVCR2/HGF/HSPG2/IFNG/IFNL1/IL12B/IL15/IL18R1/IL19/IL1RL1/IL2RA/IL4R/IL6/ISM1/JAM2/LAG3/LAMA4/LBP/LDLR/LEP/LGALS3/LGALS9/LGMN/LILRA5/LILRB1/LILRB2/LILRB4/LTBP3/MAD1L1/MDK/MERTK/MILR1/NOS3/NPPB/NRP1/PAEP/PAG1/PARP1/PCSK9/PDCD1/PDGFRA/PGLYRP1/PLA2G2A/PLAT/PLAUR/PTGDS/PTN/REG3A/RETN/ROBO1/ROBO2/RTN4R/SEMA3F/SEMA7A/SERPINE1/SFRP1/SFTPD/SIGLEC1/SLAMF1/SLAMF8/SOST/SPP1/SSC5D/STC1/STC2/TAFA5/TFF2/TGFB1/THBS2/THBS4/THY1/TIMP1/TNF/TNFRSF11B/TNFRSF13B/TNFRSF14/TNFRSF1A/TNFRSF1B/TNFRSF21/TREM2/VSIG4/WNT9A/XCL1,129
GO:0002286,T cell activation involved in immune response,21/587,27/1417,0.00011725853182721,0.0414741675779139,0.0384809865579878,APBB1IP/CCL19/CD46/CD74/CLEC4D/HAVCR2/ICAM1/IFNG/IFNL1/IL12B/IL12RB1/IL18/IL18R1/IL4R/IL6/LGALS3/LGALS9/LILRB1/LY9/MDK/SLAMF6,21
GO:0046631,alpha-beta T cell activation,26/587,36/1417,0.000151045094085203,0.0414741675779139,0.0384809865579878,ABL1/ADA/CCL19/CD160/CD274/CD28/CD83/CRTAM/CTSL/IFNG/IL12B/IL12RB1/IL15/IL18/IL18R1/IL2RA/IL4R/IL6/LGALS9/LILRB1/LILRB4/LY9/SLAMF6/TGFBR2/TNFRSF14/XCL1,26
GO:0002694,regulation of leukocyte activation,89/587,162/1417,0.000160164542381077,0.0414741675779139,0.0384809865579878,ABL1/ADA/ADAM8/CCL19/CCL21/CCL3/CD160/CD22/CD27/CD274/CD276/CD28/CD300LF/CD38/CD4/CD46/CD5/CD70/CD74/CD83/CEBPB/CLC/CLEC4D/CLEC7A/CRTAM/CST7/EPO/FGR/GAS6/GPNMB/GRN/HAVCR1/HAVCR2/IFNG/IFNL1/IL12B/IL12RB1/IL15/IL15RA/IL18/IL1RL1/IL2RA/IL4R/IL6/KLRD1/LAG3/LBP/LDLR/LEP/LGALS1/LGALS3/LGALS9/LILRB1/LILRB2/LILRB4/MAD1L1/MDK/MERTK/MILR1/MMP8/MZB1/NECTIN2/PAG1/PGLYRP1/PLA2G2A/SFRP1/SFTPD/SIRPB1/SIT1/SLAMF1/SLAMF8/TFRC/TGFB1/TGFBR2/THY1/TNF/TNFRSF13B/TNFRSF14/TNFRSF1B/TNFRSF21/TNFRSF4/TNFRSF9/TNFSF13/TNFSF13B/TNFSF14/TREM2/VCAM1/VSIG4/XCL1,89
GO:0002292,T cell differentiation involved in immune response,14/587,16/1417,0.000183973742733279,0.0414741675779139,0.0384809865579878,CCL19/CD46/CLEC4D/IFNG/IFNL1/IL12B/IL12RB1/IL18/IL18R1/IL4R/IL6/LGALS9/LY9/SLAMF6,14
GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,49/587,80/1417,0.000186346901553448,0.0414741675779139,0.0384809865579878,ADA/BTN3A2/C1QA/C2/CCL19/CD27/CD274/CD28/CD4/CD40/CD46/CD70/CD74/CD8A/CLC/CLEC6A/CLEC7A/CR2/CTSH/CXCL13/FCER2/HAVCR2/ICAM1/IL12B/IL12RB1/IL18/IL18BP/IL18R1/IL1RL1/IL4R/IL6/KLRD1/LILRB1/LILRB4/LTA/LY9/NECTIN2/PVR/SLAMF1/SLAMF6/TFRC/TGFB1/TNF/TNFRSF1B/TNFSF13/TNFSF13B/TREM2/ULBP2/XCL1,49
GO:0071674,mononuclear cell migration,49/587,80/1417,0.000186346901553448,0.0414741675779139,0.0384809865579878,ABL1/ADAM8/CALCA/CCL11/CCL14/CCL15/CCL16/CCL17/CCL18/CCL19/CCL20/CCL21/CCL22/CCL23/CCL25/CCL3/CCL4/CCL7/CCN3/CD99/CD99L2/CRTAM/CSF1/CXCL10/CXCL11/CXCL13/CXCL16/CXCL17/F11R/GAS6/ICAM1/IL6/JAM2/LGALS3/LGALS9/LGMN/MDK/NBL1/RARRES2/S100A12/SERPINE1/SLAMF1/SLAMF8/TNF/TNFRSF11A/TNFRSF14/TNFSF14/XCL1/XG,49
GO:0048247,lymphocyte chemotaxis,23/587,31/1417,0.000191545639315786,0.0414741675779139,0.0384809865579878,ADAM8/CCL11/CCL14/CCL15/CCL16/CCL17/CCL18/CCL19/CCL20/CCL21/CCL22/CCL23/CCL25/CCL3/CCL4/CCL7/CXCL10/CXCL11/CXCL13/CXCL16/GAS6/TNFSF14/XCL1,23
GO:0002250,adaptive immune response,70/587,123/1417,0.000212601845454464,0.0414741675779139,0.0384809865579878,ADA/ALCAM/BTN3A2/C1QA/C2/CCL19/CD160/CD27/CD274/CD28/CD4/CD40/CD46/CD70/CD74/CD79B/CD8A/CLC/CLEC4D/CLEC6A/CLEC7A/CR2/CTSH/CTSL/CTSS/CXCL13/FCER2/HAVCR2/ICAM1/IFNG/IL12B/IL12RB1/IL18/IL18BP/IL18R1/IL1RL1/IL4R/IL6/KLRD1/LAG3/LAIR1/LAMP3/LILRB1/LILRB2/LILRB4/LTA/LY9/NECTIN2/PAG1/PDCD1/PVR/SIGLEC10/SIT1/SKAP1/SLAMF1/SLAMF6/SLAMF7/TFRC/TGFB1/TNF/TNFRSF11A/TNFRSF13B/TNFRSF14/TNFRSF1B/TNFRSF21/TNFSF13/TNFSF13B/TREM2/ULBP2/XCL1,70
GO:0050865,regulation of cell activation,96/587,178/1417,0.000218805904386774,0.0414741675779139,0.0384809865579878,ABL1/ACTA2/ADA/ADAM8/C1QTNF1/CCL19/CCL21/CCL3/CD160/CD22/CD27/CD274/CD276/CD28/CD300LF/CD38/CD4/CD46/CD5/CD70/CD74/CD83/CEBPB/CLC/CLEC4D/CLEC7A/CRTAM/CST7/EPO/F11R/FGR/GAS6/GPNMB/GRN/HAVCR1/HAVCR2/IFNG/IFNL1/IL12B/IL12RB1/IL15/IL15RA/IL18/IL1RL1/IL2RA/IL4R/IL6/KLRD1/LAG3/LBP/LDLR/LEP/LGALS1/LGALS3/LGALS9/LILRA2/LILRA5/LILRB1/LILRB2/LILRB4/MAD1L1/MDK/MERTK/MILR1/MMP8/MZB1/NECTIN2/NOS3/PAG1/PDGFRA/PGLYRP1/PLA2G2A/SFRP1/SFTPD/SIRPB1/SIT1/SLAMF1/SLAMF8/TFRC/TGFB1/TGFBR2/THY1/TNF/TNFRSF13B/TNFRSF14/TNFRSF1B/TNFRSF21/TNFRSF4/TNFRSF9/TNFSF13/TNFSF13B/TNFSF14/TREM2/VCAM1/VSIG4/XCL1,96
